,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,MES / AÑO,,DICIEMBRE 2013,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,240,06,220,05,240,04,240,05,240,05,240,11,240,23,240,09,,240,23,,06
,2,000,00,210,08,210,10,240,02,230,08,240,22,240,15,250,07,,240,22,,08
,3,240,03,020,04,000,00,000,00,240,14,090,15,240,10,240,17,,240,17,,07
,4,240,05,220,03,130,02,000,00,360,12,360,03,240,10,200,03,,360,12,,03
,5,000,00,000,00,260,05,050,08,050,05,350,04,240,13,000,00,,240,13,,05
,6,000,00,000,00,000,00,270,04,240,15,240,14,240,10,120,03,,240,15,,04
,7,240,02,000,00,000,00,020,03,260,08,260,13,240,16,240,12,,240,16,,06
,8,270,02,000,00,360,06,030,03,040,03,340,07,280,04,220,05,,340,07,,04
,9,240,06,000,00,000,00,350,03,240,14,240,18,240,19,240,10,,240,19,,08
,10,240,05,000,06,000,00,000,00,000,00,240,20,240,18,240,10,,240,20,,06
,11,240,08,030,04,030,01,040,05,260,03,240,14,240,18,230,15,,240,18,,07
,12,230,03,230,08,250,02,000,00,010,03,270,02,240,06,240,08,,230,08,,03
,13,270,04,300,02,000,00,280,01,000,00,000,00,240,08,240,12,,240,12,,02
,14,240,07,030,03,040,04,000,00,300,04,260,07,250,06,260,04,,240,07,,04
,15,000,00,000,00,320,04,010,08,040,04,350,03,280,03,250,06,,010,08,,04
,16,240,03,260,05,000,00,040,03,040,03,270,07,280,06,270,06,,270,07,,04
,17,000,00,010,04,000,00,030,05,040,03,300,04,240,11,240,05,,240,11,,04
,18,250,03,000,00,250,03,240,03,280,03,280,06,270,08,030,02,,270,08,,03
,19,270,02,260,03,010,04,240,02,320,04,280,05,250,09,230,06,,250,09,,04
,20,240,07,250,04,230,04,250,04,260,03,310,04,300,06,240,10,,240,10,,04
,21,200,03,240,06,240,07,240,06,000,00,360,04,270,06,240,10,,240,10,,06
,22,240,07,000,00,340,03,000,00,020,02,050,05,270,05,240,13,,240,13,,04
,23,000,00,090,05,090,04,050,04,030,06,340,06,270,04,230,02,,030,06,,04
,24,290,02,030,04,020,05,010,07,350,07,030,05,010,03,000,00,,010,07,,05
,25,250,03,270,03,000,00,000,00,030,02,250,06,240,09,220,10,,220,10,,03
,26,150,03,150,08,120,03,000,00,250,12,240,25,240,10,030,04,,240,25,,06
,27,140,07,000,00,250,03,240,04,270,09,230,11,230,16,240,03,,230,16,,06
,28,000,00,150,04,000,00,000,00,240,08,240,15,230,15,270,04,,240,15,,04
,29,240,06,000,00,100,03,260,02,040,03,240,22,230,18,150,05,,240,22,,04
,30,220,16,250,07,000,00,020,02,240,15,240,20,240,15,200,15,,240,20,,15
,31,180,07,230,06,240,02,000,00,240,10,240,25,240,15,180,05,,240,25,,07
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,14,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,25,,